ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672	cosine	24.0	3.0	18.0	284142.04519837926	21971.340923560914	3.0	63.0	316430.822197	239782.188611	76648.6335863	1.3196594127	1.13378864275	0.28471690049293835	0.0256371939762934	0.7178414313362151
A0A024QYR9	cosine	24.0	18.0	21.0	56443.019458897856	3254.0967984318177	15.0	39.0	64699.3144411	46767.6284411	17931.6860001	1.38342089599	1.05264739698	0.21819935871795682	0.06761446149507122	1.8932049218619942
A0A068BD34	cosine	24.0	12.0	18.0	33705.72736001887	3067.575754815886	18.0	30.0	39270.548568	28818.9025942	10451.6459738	1.36266634164	1.15991459601	0.06745406256199317	0.32211541368864505	9.01923158328206
Q3TBA3	cosine	24.0	3.0	6.0	102452.0523403177	8083.797135780584	51.0	6.0	117610.702625	86262.8622276	31347.8403971	1.36339902929	1.12037551617	0.2783741142103382	0.0283411053804827	0.7935509506535156
Q78ZJ8	cosine	24.0	3.0	6.0	717295.2108171462	42768.945989812426	51.0	6.0	794049.710638	618481.917855	175567.792783	1.28386891793	1.0628426354	0.2932207336348896	0.022353887279688553	0.6259088438312794
Q3UM80	cosine	24.0	3.0	12.0	26027.452601223195	5458.952621677309	51.0	39.0	41080.979272	18493.6663773	22587.3128947	2.22135397243	1.31953389644	0.29950738883023387	0.02016114215609676	0.5645119803707093
A0A068BFS4	cosine	24.0	3.0	0.0	24463.812304909723	2214.083932218225	54.0	9.0	29365.2069181	20825.5221666	8539.68475149	1.41005861381	1.17258964007	0.17444777823847862	0.11618577088949705	3.2532015849059173
A0A068BGT0	cosine	24.0	12.0	9.0	191267.751682836	8132.95276939082	27.0	6.0	204884.920221	175310.968991	29573.9512297	1.16869424315	1.07244418674	0.1683092910639584	0.12460960164846763	3.4890688461570933
Q14C53	cosine	24.0	18.0	15.0	88613.97388654172	16170.282930945206	24.0	39.0	120678.223353	58906.7374767	61771.4858759	2.04863193112	1.27505414164	0.3792278912373914	0.004713061061363689	0.13196570971818328
A0A068BIT8	cosine	24.0	6.0	3.0	118273.0733476922	19116.236797288824	51.0	0.0	160331.488953	90292.9229991	70038.5659539	1.77568167723	1.27190931257	0.11506130054027312	0.2154327694040179	6.032117543312501
A0A068EW80	cosine	24.0	15.0	0.0	880061.8028348489	29506.82977460284	39.0	3.0	929987.756806	812643.330645	117344.426162	1.14439843623	1.0436972143	0.29950738883023387	0.02016114215609676	0.5645119803707093
Q7JCZ1	cosine	24.0	3.0	6.0	514016.8959584415	47937.76637195451	27.0	6.0	613398.834933	426429.236322	186969.598611	1.43845398647	1.15838689845	0.5010734055786088	0.00030139482958367174	0.008439055228342809
Q3TNL9	cosine	24.0	18.0	15.0	129568.30120066537	8635.793587963184	18.0	39.0	144449.755924	113150.249851	31299.5060733	1.27661897446	1.12734775901	0.5219076919009644	0.00017646552926671517	0.004941034819468025
Q7GIP5	cosine	24.0	18.0	15.0	17590.54414769263	1656.9322063371035	18.0	9.0	20427.7227407	14450.8706923	5976.85204835	1.41359805756	1.15424888185	0.5519455446722429	7.884755184806215e-05	0.00220773145174574
A0A087WP63	cosine	24.0	3.0	6.0	34316.52325350664	6324.258026238592	63.0	60.0	56453.7569769	26802.2256436	29651.5313333	2.10630854794	1.20005249911	0.17444777823847862	0.11618577088949705	3.2532015849059173
A0A087WQE6	cosine	24.0	6.0	21.0	381007.15726897074	12647.957276240231	30.0	51.0	400245.565793	353963.974363	46281.5914307	1.13075226515	1.04275202926	0.26352749478578685	0.03560678181850737	0.9969898909182063
A0A087WNV1	cosine	24.0	6.0	3.0	119018.01368878054	10036.740288034405	51.0	45.0	141714.690359	96725.847167	44988.843192	1.46511707584	1.13002526611	0.2932207336348896	0.022353887279688553	0.6259088438312794
A0A087WPB2	cosine	24.0	3.0	6.0	11770.071292141563	1622.906963290788	45.0	15.0	14818.7349767	9020.70449542	5798.03048127	1.64274696995	1.20011120258	0.20414101708758137	0.08112374916958642	2.27146497674842
A0A087WPP8	cosine	24.0	15.0	21.0	21980.064367550814	1622.5356952837947	15.0	24.0	24488.046431	18136.1543508	6351.8920802	1.35023368005	1.14543645309	0.4301237438301159	0.0016166864665646073	0.045267221063809
A0A087WQH8	cosine	24.0	0.0	6.0	79798.98245528365	5651.623684537211	27.0	6.0	93518.6974389	69254.3044876	24264.3929513	1.35036656755	1.11547594247	0.48343508471902835	0.00046714047588201826	0.013079933324696511
A0A087WQN7	cosine	24.0	3.0	6.0	137809.82977604624	7402.271937780556	0.0	39.0	155885.969702	121292.066578	34593.9031244	1.28521158968	1.06862742326	0.41199368903130057	0.0023973316316347427	0.06712528568577279
A0A087WQS0	cosine	24.0	15.0	9.0	891261.1829724888	25737.100963533216	42.0	0.0	929608.948399	835938.144271	93670.8041281	1.11205470736	1.04796295985	0.25384446470840993	0.04112100111304758	1.1513880311653324
A0A087WQS2	cosine	24.0	0.0	21.0	1056285.3654889595	36662.17449177144	0.0	69.0	1143699.5008	995914.767435	147784.73336	1.14839094488	1.04948192891	0.29211214466158614	0.02276070879876716	0.6372998463654805
