ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672	cosine	24.0	0.0	21.0	297349.85424099385	14680.54598910497	27.0	57.0	321282.215034	273335.970278	47946.2447564	1.17541139832	1.0823286136	0.10723104044539238	0.2314422767873972	6.480383750047122
A0A024QYR9	cosine	24.0	12.0	21.0	63728.977356826865	2294.873877202827	30.0	54.0	69320.0373435	59469.3841841	9850.65315933	1.16564242752	1.05345737626	0.21237337115470045	0.07298545049751572	2.04359261393044
A0A068BD34	cosine	24.0	9.0	15.0	32310.858553954316	3944.428943559276	9.0	51.0	41651.3174192	22013.0774036	19638.2400156	1.89211697463	1.11026368752	0.20158236903314908	0.08378779091821886	2.346058145710128
Q3TBA3	cosine	24.0	21.0	0.0	63465.44516133901	5398.525019627518	21.0	54.0	75508.6206043	53244.5412365	22264.0793678	1.41814764201	1.11117969229	0.19597397046916537	0.08985625322931617	2.515975090420853
Q78ZJ8	cosine	24.0	18.0	15.0	724357.1844652757	34382.25006988311	69.0	12.0	779516.619475	651524.944268	127991.675207	1.19644938591	1.06332392588	0.16145345864562208	0.13451203512311516	3.7663369834472245
Q3UM80	cosine	24.0	15.0	18.0	19254.397795929108	2024.9917597263097	63.0	27.0	23118.8176216	14249.6058191	8869.21180251	1.62241804546	1.14381661399	0.14643453225998282	0.15805277010113494	4.425477562831778
A0A068BFS4	cosine	24.0	0.0	18.0	26309.45505285569	3425.757155823743	15.0	39.0	31152.5580115	17839.7135644	13312.8444472	1.7462476569	1.17930420974	0.2731092190440679	0.030762062328506853	0.8613377451981918
A0A068BGT0	cosine	24.0	12.0	9.0	190748.86374504698	9311.2413105937	36.0	9.0	205267.678874	173467.878347	31799.8005263	1.18331809226	1.06879374043	0.21319176868101397	0.07221183733783956	2.021931445459508
Q14C53	cosine	24.0	0.0	12.0	63950.58329905459	7290.240931109784	6.0	15.0	75527.9034204	47948.5212929	27579.3821275	1.57518733391	1.22168419053	0.26572788879963366	0.03444220575113408	0.9643817610317543
A0A068BIT8	cosine	24.0	18.0	21.0	90657.08608360997	5235.330428612628	60.0	24.0	101420.369201	80925.9776545	20494.3915463	1.25324861238	1.0743944905	0.35363344343944725	0.0077393670907879575	0.2167022785420628
A0A068EW80	cosine	24.0	12.0	6.0	801061.531716922	20563.851410279236	12.0	66.0	832155.779215	754798.454742	77357.3244727	1.10248739115	1.0264668889	0.32850460138735404	0.012257919988595213	0.343221759680666
Q7JCZ1	cosine	24.0	18.0	9.0	474274.3151472159	35012.744335958734	63.0	15.0	527643.693494	388492.497557	139151.195937	1.35818245349	1.09595782252	0.330337282196268	0.011864341762666228	0.3322015693546544
Q3TNL9	cosine	24.0	18.0	12.0	127545.83169338037	7554.35663053701	3.0	15.0	140974.312687	113600.620738	27373.6919491	1.24096428146	1.08622529338	0.3747447920110732	0.005151235074455755	0.14423458208476114
Q7GIP5	cosine	24.0	15.0	12.0	15332.726887526404	1803.6837245885058	45.0	12.0	19456.5626575	11411.0556044	8045.50705309	1.7050624703	1.13984440898	0.19900077460972024	0.08654178804169727	2.4231700651675236
A0A087WP63	cosine	24.0	6.0	3.0	34680.14058337949	2566.9873582852147	39.0	9.0	39405.739362	29956.5910436	9449.14831844	1.31542802399	1.1020649941	0.2932207336348896	0.022353887279688553	0.6259088438312794
A0A087WQE6	cosine	24.0	3.0	0.0	354724.43033959024	14568.11293733205	12.0	48.0	379545.143431	334646.595681	44898.5477497	1.13416705363	1.07756116948	0.10763799082799744	0.23059422607029073	6.456638329968141
A0A087WNV1	cosine	24.0	3.0	12.0	133020.02545057	5748.219935152017	9.0	36.0	145638.278865	120933.833997	24704.4448676	1.20428067193	1.07096309507	0.34387885384212036	0.009281315096840078	0.2598768227115222
A0A087WPB2	cosine	24.0	21.0	0.0	13481.980391489533	1444.6070563924375	45.0	9.0	15626.4796992	10791.9034044	4834.57629482	1.44798179836	1.19106510236	0.35127409801076814	0.008090044838256295	0.22652125547117627
A0A087WPP8	cosine	24.0	21.0	0.0	18165.501198536385	1599.4495255789668	60.0	24.0	21028.3373447	15093.8570953	5934.4802494	1.39317188522	1.15661702316	0.28471690049293835	0.0256371939762934	0.7178414313362151
A0A087WQH8	cosine	24.0	15.0	12.0	69237.33710142817	6260.633375725348	51.0	54.0	79476.957304	58839.8179737	20637.1393304	1.35073424836	1.13233411053	0.2365480905738184	0.052679346147498834	1.4750216921299675
A0A087WQN7	cosine	24.0	3.0	6.0	134885.53835456542	5689.712608009022	36.0	66.0	145483.83532	122418.267281	23065.568038	1.18841606363	1.05050701619	0.21898763651213274	0.06691183000253088	1.8735312400708648
A0A087WQS0	cosine	24.0	18.0	6.0	1105417.1079492935	63651.13813212353	51.0	0.0	1202087.54531	975053.887325	227033.657987	1.23284216487	1.09339819281	0.2222771122371936	0.06404057269546252	1.7931360354729506
A0A087WQS2	cosine	24.0	15.0	18.0	1027491.9592202259	17405.404387182578	27.0	18.0	1058878.60116	996077.244975	62801.3561806	1.06304868071	1.02354257739	0.29662379611637546	0.021143176383724687	0.5920089387442913
Q3U607	cosine	24.0	0.0	21.0	349636.5021998232	13762.667014491428	9.0	69.0	378680.301627	331373.79167	47306.5099571	1.14275875506	1.06277865545	0.23295019131240413	0.055380662873957556	1.5506585604708116
A0A087WR24	cosine	24.0	12.0	18.0	129496.41321798065	4167.691739062697	30.0	0.0	139880.33724	122673.354499	17206.9827408	1.14026666843	1.04286964286	0.40472437537195904	0.0027963746112879334	0.07829848911606213
A0A087WRE7	cosine	24.0	12.0	15.0	61854.20630983557	4246.368074568245	63.0	39.0	68208.6040861	54373.1412057	13835.4628803	1.25445399279	1.13130504342	0.07884936352460613	0.294666128537028	8.250651599036784
A0A087WRF2	cosine	24.0	15.0	6.0	144463.58123696255	5698.8533996187525	27.0	6.0	155325.980358	135514.948195	19811.0321631	1.14619075185	1.06814402482	0.1818710879507543	0.10654892958100276	2.9833700282680775
