ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672_S56___1	cosine	24.0	9.0	12.0	35558.74661000327	2011.3062369141865	3.0	51.0	38886.9714997	32041.8719831	6845.09951662	1.21362982538	1.1121731556	0.22815259455336584	0.059151522051165605	1.656242617432637
A0A068BD34_S619___1	cosine	24.0	12.0	9.0	22609.972174266633	3914.0278434956867	51.0	9.0	34756.7822442	15859.5023531	18897.2798911	2.19154305541	1.21094646253	0.18327011693631026	0.10479929422810885	2.934380238387048
A0A068EW80_S528___1	cosine	24.0	18.0	0.0	143947.1070443082	16388.046442058265	36.0	9.0	176547.945237	110378.334472	66169.6107651	1.59948006175	1.2030798629	0.2952532097773707	0.02162395005989455	0.6054706016770475
A0A068EW80_S557___1	cosine	24.0	21.0	0.0	15594.912298068046	1206.6209813917021	69.0	27.0	17491.733932	12940.7456966	4550.98823535	1.3516789791	1.09569267019	0.2699264121556429	0.03230693818080994	0.9045942690626783
A0A068EW80_S515___1	cosine	24.0	3.0	0.0	127004.22676579728	16780.87130814225	30.0	12.0	172792.614513	97105.6010544	75687.0134588	1.77942994675	1.19031915793	0.21156432679985704	0.0737564416596048	2.065180366468934
A0A068EW80_S503___1	cosine	24.0	6.0	3.0	6277.553825402035	1571.1365399241658	30.0	3.0	8873.05330278	3325.38325088	5547.6700519	2.66827990441	1.49449293322	0.21898763651213274	0.06691183000253088	1.8735312400708648
A0A068EW80_S17___1	cosine	24.0	12.0	21.0	62704.634353482375	3033.961991961718	36.0	48.0	68635.141428	56771.1681703	11863.9732577	1.20897884684	1.07173879734	0.1825665822207074	0.1056765215839412	2.9589426043503533
A0A087WP63_S560___1	cosine	24.0	3.0	6.0	18149.878594976013	3351.116430377705	21.0	42.0	27597.8791223	14459.9745666	13137.9045557	1.90857037785	1.28258747215	0.15217784910165155	0.14874946071331063	4.164984899972698
A0A087WNV1_S181___1	cosine	24.0	12.0	9.0	54478.290563956056	3580.4713090795453	24.0	57.0	62853.8146907	48148.8978328	14704.9168579	1.30540505639	1.09203360694	0.24311342042571768	0.04802044059311893	1.3445723366073299
Q3U6E4_S2___1	cosine	24.0	21.0	0.0	41622.40371567521	3165.086282925352	6.0	48.0	47518.3867982	35454.9578318	12063.4289665	1.34024660313	1.1263909088	0.21815970297510862	0.06764995867882109	1.8941988430069907
A0A087WPP8_S177___1	cosine	24.0	0.0	21.0	32081.447353710624	3989.102743323729	24.0	21.0	39307.2227436	25580.9681424	13726.2546012	1.53658073161	1.22142745717	0.29950738883023387	0.02016114215609676	0.5645119803707093
F8VQC7_S75___1	cosine	24.0	21.0	9.0	47984.50372609012	6127.84032248991	36.0	9.0	63698.5991963	40214.8231847	23483.7760116	1.58395820625	1.1567946735	0.26352749478578685	0.03560678181850737	0.9969898909182063
A0A087WQS0_S1054___1	cosine	24.0	6.0	12.0	19458.675101036108	3148.7642323031555	6.0	39.0	26750.8605143	14965.8361439	11785.0243704	1.78746180682	1.33311644484	0.11945621868631057	0.20673596440309705	5.788607003286717
A0A087WQS0_S1062___1	cosine	24.0	9.0	3.0	24530.173394497513	2712.469545908771	12.0	27.0	29344.8318649	19159.9233696	10184.9084953	1.53157355063	1.18805454754	0.23799881093859857	0.05162016738148153	1.4453646866814829
A0A087WQS0_S616___1	cosine	24.0	0.0	9.0	11880.079421735376	2093.8929583745876	42.0	18.0	16607.1807684	8517.49923496	8089.6815334	1.94977191195	1.27843916509	0.17378823796322213	0.11707097859576515	3.2779874006814245
A0A087WQS0_S154___1	cosine	24.0	15.0	12.0	14118.81081295113	1341.2947341864092	27.0	54.0	17018.0813309	11324.7894036	5693.29192737	1.50272828257	1.13138521464	0.2816048697307362	0.026935575910470858	0.754196125493184
A0A087WQS0_S1514___1	cosine	24.0	9.0	12.0	240784.02396844036	17560.641861136515	9.0	54.0	287627.212905	212553.936634	75073.2762708	1.35319635787	1.09867696727	0.2954763109789492	0.021545066942792488	0.6032618743981897
A0A087WQS0_S836___1	cosine	24.0	21.0	18.0	43257.896713048925	2403.637992858991	30.0	57.0	48233.215206	38488.5657466	9744.64945944	1.25318297189	1.07336512146	0.2257234745358174	0.061136095767155875	1.7118106814803644
A0A087WQS0_S1526___1	cosine	24.0	3.0	15.0	26417.17897381648	1464.404026767321	27.0	9.0	28605.3043423	23038.9236048	5566.38073749	1.24160767373	1.09186190288	0.26572788879963366	0.03444220575113408	0.9643817610317543
A0A087WQS0_S851___1	cosine	24.0	3.0	21.0	8773.808702866856	911.7373029064373	63.0	0.0	10340.2629088	6461.85540766	3878.4075011	1.60020029178	1.14964045499	0.22882123757746228	0.05861420943696903	1.6411978642351328
