ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672	cosine	24.0	3.0	18.0	289976.44621255057	22443.12800372799	3.0	63.0	322924.96186	244705.097319	78219.8645417	1.31964951036	1.13410393372	0.28471690049293835	0.0256371939762934	0.7178414313362151
A0A024QYR9	cosine	24.0	18.0	21.0	46218.29372995164	2664.519176835054	15.0	39.0	52989.7929365	38301.0473038	14688.7456326	1.38350767581	1.05244030164	0.2257234745358174	0.061136095767155875	1.7118106814803644
A0A068BD34	cosine	24.0	12.0	18.0	43376.09638038928	3951.357160072974	18.0	30.0	50535.3813061	37090.3754909	13445.0058152	1.36249311681	1.16004294773	0.06745406256199317	0.32211541368864505	9.01923158328206
Q8VCR0	cosine	24.0	9.0	6.0	12578.507709110047	1417.2698720299622	51.0	27.0	17335.5317817	10284.3814082	7051.15037357	1.68561735449	1.10419073499	0.19001827945420569	0.09665182047357779	2.706250973260178
A0A068BEP2	cosine	24.0	21.0	6.0	254419.08575018364	27116.419980203256	69.0	3.0	318368.544528	203073.64747	115294.897058	1.56774918112	1.0832975843	0.2783741142103382	0.0283411053804827	0.7935509506535156
Q3TBA3	cosine	24.0	3.0	6.0	112293.05373677176	8845.756319803473	51.0	6.0	128883.892733	94581.5020042	34302.3907291	1.36267547039	1.12013248895	0.2783741142103382	0.0283411053804827	0.7935509506535156
Q78ZJ8	cosine	24.0	3.0	6.0	814581.1496709777	48481.80715519605	51.0	6.0	901575.550841	702606.404142	198969.146699	1.28318720912	1.06229216536	0.2932207336348896	0.022353887279688553	0.6259088438312794
E9PUA5	cosine	24.0	6.0	0.0	2342.624234799963	335.41727775976403	54.0	45.0	3013.46880633	1584.95540774	1428.51339859	1.90129564	1.20012176988	0.37187314209156025	0.005450614642997061	0.1526172100039177
Q3UM80	cosine	24.0	3.0	12.0	37131.15356239657	7787.0241104551915	51.0	39.0	58595.4835107	26387.0897756	32208.3937351	2.22061182226	1.31977036536	0.29950738883023387	0.02016114215609676	0.5645119803707093
A0A068BFS4	cosine	24.0	3.0	0.0	9814.277132708576	887.9655504495929	54.0	9.0	11781.830889	8356.8426114	3424.98827764	1.4098423815	1.17196895393	0.17444777823847862	0.11618577088949705	3.2532015849059173
A0A068BGT0	cosine	24.0	12.0	9.0	240857.17389955136	10209.153000933295	27.0	6.0	257908.940333	220838.48294	37070.4573934	1.16786230778	1.07235160496	0.1683092910639584	0.12460960164846763	3.4890688461570933
Q14C53	cosine	24.0	18.0	15.0	65131.302739336905	11879.876076126533	24.0	39.0	88689.9685561	43303.4107676	45386.5577884	2.04810584164	1.27517360062	0.3792278912373914	0.004713061061363689	0.13196570971818328
A0A068BIT8	cosine	24.0	6.0	3.0	161377.54315775752	26076.52233561097	51.0	0.0	218722.663182	123210.857605	95511.8055779	1.77518984475	1.27202966026	0.11506130054027312	0.2154327694040179	6.032117543312501
A0A068EW80	cosine	24.0	15.0	0.0	1007557.4070044403	33729.17622548246	39.0	3.0	1064867.35199	930369.384047	134497.967943	1.14456405192	1.04321662584	0.3069026329988816	0.017817847893956983	0.4988997410307955
