ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672	cosine	24.0	0.0	21.0	288848.5708666682	14266.578338204596	27.0	57.0	312045.188788	265509.171465	46536.0173232	1.17527084683	1.08253490811	0.10723104044539238	0.2314422767873972	6.480383750047122
A0A024QYR9	cosine	24.0	12.0	21.0	72940.56955940544	2626.479575976735	30.0	54.0	79333.1409587	68075.5496321	11257.5913266	1.1653690846	1.05367645108	0.2049216739212022	0.08032379819344765	2.249066349416534
A0A068BD34	cosine	24.0	9.0	15.0	23964.623552485442	2926.713234437987	9.0	51.0	30897.5443802	16325.5134006	14572.0309796	1.89259250978	1.11023977288	0.20158236903314908	0.08378779091821886	2.346058145710128
Q3TBA3	cosine	24.0	21.0	0.0	57519.72708742967	4896.007003618592	21.0	54.0	68439.6724042	48263.3696855	20176.3027187	1.41804587724	1.11142803143	0.20336921463781313	0.08192052243423542	2.293774628158592
Q78ZJ8	cosine	24.0	18.0	15.0	631933.3705211495	29958.11928202198	69.0	12.0	680062.850301	568458.988027	111603.862274	1.19632702556	1.06330513618	0.16145345864562208	0.13451203512311516	3.7663369834472245
Q3UM80	cosine	24.0	15.0	18.0	11980.013213332917	1260.8819224683125	63.0	27.0	14383.4369798	8864.50360807	5518.93337177	1.62258797737	1.14423319665	0.14643453225998282	0.15805277010113494	4.425477562831778
A0A068BFS4	cosine	24.0	0.0	18.0	39574.5382050752	5155.9786656838305	15.0	39.0	46867.7465231	26828.9735687	20038.7729544	1.74690792412	1.1797224304	0.2731092190440679	0.030762062328506853	0.8613377451981918
A0A068BGT0	cosine	24.0	12.0	9.0	146139.2913890451	7117.491512034112	42.0	9.0	157224.999986	132924.302227	24300.6977592	1.18281606412	1.06864249483	0.20571135574483804	0.0795206783939611	2.226578995030911
Q14C53	cosine	24.0	0.0	12.0	77803.6109280434	8864.07529247904	6.0	15.0	91902.2999498	58346.2554157	33556.0445341	1.57511907654	1.22143149879	0.26572788879963366	0.03444220575113408	0.9643817610317543
A0A068BIT8	cosine	24.0	18.0	21.0	61265.72844913971	3538.6373215355234	60.0	24.0	68544.3976515	54679.5044968	13864.8931547	1.25356654714	1.07461883044	0.35363344343944725	0.0077393670907879575	0.2167022785420628
A0A068EW80	cosine	24.0	12.0	6.0	692486.2973478957	17748.40657965259	12.0	66.0	719446.075359	652572.350865	66873.7244936	1.10247710373	1.02633468697	0.32850460138735404	0.012257919988595213	0.343221759680666
Q7JCZ1	cosine	24.0	18.0	9.0	441611.4684604751	32564.59060734825	63.0	15.0	491278.812877	361806.654489	129472.158388	1.35784902456	1.09586033781	0.330337282196268	0.011864341762666228	0.3322015693546544
Q3TNL9	cosine	24.0	18.0	12.0	119831.347661355	7091.688155823484	3.0	15.0	132463.932221	106749.653961	25714.2782592	1.24088394955	1.08618722088	0.3747447920110732	0.005151235074455755	0.14423458208476114
Q7GIP5	cosine	24.0	15.0	12.0	13472.872169564498	1583.6199009611046	45.0	12.0	17092.4636121	10028.1084022	7064.35520998	1.7044554094	1.13972266354	0.19900077460972024	0.08654178804169727	2.4231700651675236
A0A087WP63	cosine	24.0	6.0	3.0	31815.238860489568	2352.7154635851534	39.0	9.0	36143.9085795	27486.9815534	8656.92702607	1.31494644144	1.10181649385	0.2932207336348896	0.022353887279688553	0.6259088438312794
A0A087WQE6	cosine	24.0	3.0	0.0	319014.04968645354	13125.41449776216	12.0	48.0	341372.669736	300969.974759	40402.6949767	1.13424161333	1.07747509873	0.10763799082799744	0.23059422607029073	6.456638329968141
A0A087WNV1	cosine	24.0	3.0	12.0	113755.8534379922	4924.6888098852305	9.0	36.0	124568.49307	103391.787925	21176.7051455	1.20481999171	1.07117758742	0.34387885384212036	0.009281315096840078	0.2598768227115222
A0A087WPB2	cosine	24.0	21.0	0.0	11086.694778827252	1186.9660494119903	45.0	9.0	12847.1207859	8876.22896996	3970.89181595	1.44736248123	1.1906709221	0.35127409801076814	0.008090044838256295	0.22652125547117627
A0A087WPP8	cosine	24.0	21.0	0.0	16438.61602870392	1447.4206272511258	60.0	24.0	19030.6628676	13656.4573613	5374.20550629	1.39352852384	1.15669189982	0.28471690049293835	0.0256371939762934	0.7178414313362151
A0A087WQC4	cosine	24.0	3.0	6.0	4152.257173607303	616.6445871604654	63.0	33.0	5362.47472649	2779.4120616	2583.06266489	1.92935578016	1.24918821003	0.26352749478578685	0.03560678181850737	0.9969898909182063
A0A087WQH8	cosine	24.0	15.0	12.0	72872.74931982749	6581.747630224492	51.0	54.0	83644.168569	61939.2904259	21704.8781431	1.35042180809	1.13196014347	0.2365480905738184	0.052679346147498834	1.4750216921299675
A0A087WQN7	cosine	24.0	3.0	6.0	112281.86720709522	4729.26579742008	36.0	66.0	121071.775642	101916.198662	19155.5769807	1.18795419406	1.05040066513	0.21898763651213274	0.06691183000253088	1.8735312400708648
A0A087WQS0	cosine	24.0	18.0	6.0	1129089.544758005	64969.549807977506	51.0	0.0	1227734.7807	996175.182746	231559.597958	1.23244867165	1.09367526264	0.2222771122371936	0.06404057269546252	1.7931360354729506
A0A087WQS2	cosine	24.0	15.0	18.0	888034.4636553429	15010.062957060718	27.0	18.0	915011.365343	860992.263024	54019.1023192	1.06274052002	1.02356123995	0.3116427225020147	0.016441424648025	0.4603598901447
Q3U607	cosine	24.0	0.0	21.0	288167.07294279226	11354.139047246612	9.0	69.0	312159.911186	273117.316602	39042.5945837	1.14295173616	1.06311800228	0.23295019131240413	0.055380662873957556	1.5506585604708116
A0A087WR24	cosine	24.0	12.0	18.0	91479.64405244817	2940.988030881639	30.0	0.0	98806.9267722	86680.4336903	12126.493082	1.13989885105	1.04289767627	0.40472437537195904	0.0027963746112879334	0.07829848911606213
A0A087WRE7	cosine	24.0	12.0	15.0	62453.726052125916	4287.0499240679255	63.0	39.0	68865.6110146	54889.9219885	13975.689026	1.25461302403	1.13111415278	0.07884936352460613	0.294666128537028	8.250651599036784
A0A087WRF2	cosine	24.0	15.0	6.0	119261.4487196394	4689.674207880741	27.0	6.0	128208.439148	111890.23051	16318.2086375	1.14584122817	1.06780282975	0.1818710879507543	0.10654892958100276	2.9833700282680775
A0A087WRL6	cosine	24.0	15.0	9.0	67552.38070211622	6832.848578089052	36.0	54.0	79284.997001	52487.2535223	26797.7434786	1.51055716732	1.17052383712	0.23144642370472673	0.05654161670725406	1.5831652678031136
F2Z4A3	cosine	24.0	18.0	15.0	296332.99088113685	14429.481313496055	48.0	15.0	318641.251374	270896.791349	47744.4600249	1.17624594144	1.09402056271	0.2590764801522773	0.03806123580744964	1.06571460260859
Q61935	cosine	24.0	21.0	18.0	193437.38611985164	64106.04872248319	30.0	0.0	381926.984847	80377.1352842	301549.849562	4.75168695048	1.57037426178	0.13543408472149043	0.17691556091276012	4.953635705557283
