ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
A0A023T672_S56___1	cosine	24.0	18.0	3.0	34005.16699210797	4073.0063666314845	66.0	0.0	41477.6070993	27628.8320617	13848.7750376	1.50124359244	1.20760621915	0.4252265396972456	0.0018007516288111659	0.05042104560671264
A0A068BD34_S619___1	cosine	24.0	21.0	0.0	16060.808090495402	2186.3010630195126	36.0	6.0	19206.8209934	11983.280707	7223.54028646	1.60280155853	1.20103205889	0.09244055210809687	0.2634159933036787	7.375647812503004
A0A068EW80_S528___1	cosine	24.0	3.0	21.0	144316.44193344473	23119.210986484726	51.0	63.0	210075.32207	97043.6033355	113031.718735	2.16475187287	1.11946849718	0.4354984844216218	0.001434531998309761	0.04016689595267331
A0A068EW80_S515___1	cosine	24.0	21.0	0.0	173612.9772272104	8602.047153431713	27.0	0.0	187944.06209	155614.973066	32329.0890238	1.20775050361	1.06530277173	0.4178312955285979	0.0021150055896341437	0.059220156509756025
A0A068EW80_S17___1	cosine	24.0	12.0	15.0	195625.76814976553	7114.145295368856	18.0	3.0	205953.899917	179762.226514	26191.6734032	1.14570176344	1.04542236276	0.27409540653791653	0.03029598352690821	0.8482875387534299
A0A087WNV1_S181___1	cosine	24.0	21.0	18.0	69830.78068750382	6107.28403612516	45.0	51.0	82395.0766815	59554.8643736	22840.2123079	1.38351547851	1.14902419551	0.28591640107870203	0.025150935058516143	0.704226181638452
A0A087WPP8_S177___1	cosine	24.0	0.0	3.0	42589.67479530341	4415.474860957661	24.0	15.0	50504.2197922	34674.6574856	15829.5623066	1.4565167605	1.19767596423	0.2709508044980625	0.03180287707901677	0.8904805582124696
A0A087WQS0_S1514___1	cosine	24.0	6.0	3.0	317778.5310891959	17706.827574945255	63.0	51.0	359046.794459	282023.742222	77023.0522369	1.27310839729	1.07534473544	0.20414101708758137	0.08112374916958642	2.27146497674842
A0A087WQS0_S836___1	cosine	24.0	12.0	6.0	42685.70240605984	3168.6756075647295	63.0	21.0	52171.464564	33807.4907605	18363.9738034	1.54319245204	1.06822320688	0.16425230069367702	0.1304060561266036	3.651369571544901
A0A087WQS0_S1526___1	cosine	24.0	0.0	21.0	30888.73132339041	12413.067753685538	51.0	21.0	71289.5477102	20236.8961714	51052.6515388	3.52275107341	1.30081267164	0.3216931213361771	0.01382149916799702	0.38700197670391656
A0A087WQS0_S792___1	cosine	24.0	9.0	3.0	90442.451280066	7806.731277242004	63.0	3.0	110930.475244	78827.019888	32103.4553557	1.40726460802	1.11779938021	0.2826235879895858	0.026504638918733395	0.7421298897245351
A0A087WQS2_S443___1	cosine	24.0	15.0	12.0	6994.880200338938	1088.5376363552232	66.0	9.0	8880.95475073	4943.19176045	3937.76299029	1.79660332456	1.28774805464	0.27409540653791653	0.03029598352690821	0.8482875387534299
Q3U607_S188___1	cosine	24.0	15.0	3.0	185640.0776639507	20228.935431618098	63.0	27.0	230198.857901	156037.619076	74161.2388252	1.47527794428	1.1879197491	0.16977059562198815	0.12256654833167985	3.431863353287036
A0A087WSE3_S2144___1	cosine	24.0	0.0	21.0	17481.791349236275	3278.8610832225395	51.0	21.0	24317.8834036	12456.2383869	11861.6450167	1.95226541498	1.31536785492	0.12941677295133563	0.18781168020979827	5.258727045874352
A0A0A0MQ73_S1627___1	cosine	24.0	18.0	15.0	37835.416923078024	5002.576337488437	54.0	30.0	46450.257644	28860.8448574	17589.4127866	1.60945592111	1.19747167735	0.25156701695945766	0.04251378781533029	1.190386058829248
S4R248_S199___1	cosine	24.0	21.0	0.0	10405.060099496604	1670.162649473769	18.0	42.0	13894.5666316	7383.78127522	6510.78535643	1.88176844814	1.26851242351	0.3216931213361771	0.01382149916799702	0.38700197670391656
A0A0A0MQ99_S36___1	cosine	24.0	21.0	3.0	165076.6804009234	26284.672594062005	0.0	51.0	195022.400854	97324.9408448	97697.4600096	2.00382758172	1.15617393697	0.33215986099954203	0.011483852877009561	0.3215478805562677
A0A0A0MQN9_S2250___1	cosine	24.0	12.0	0.0	89876.99867239746	5638.1578255571	60.0	24.0	97896.9362971	76339.979512	21556.9567851	1.2823809611	1.12301011312	0.5757437590658728	4.04783031536081e-05	0.0011333924883010268
Q921M8_S633___1	cosine	24.0	21.0	0.0	21345.662258216762	2076.3550222881804	27.0	15.0	26554.2090771	18548.2644592	8005.9446179	1.43162769409	1.1574664364	0.1589977496259266	0.13818700065494172	3.869236018338368
A0A0A6YY83_S1185___1	cosine	24.0	18.0	6.0	352101.0428922126	32809.991356132625	63.0	3.0	425173.878945	303117.775312	122056.103633	1.40266890817	1.16506733863	0.2296863493117667	0.057924711811786225	1.6218919307300144
A0A0A6YY83_S1011___1	cosine	24.0	21.0	15.0	274290.14584349253	18211.196429267813	51.0	0.0	307957.375646	244552.668582	63404.7070636	1.25926810544	1.10391838647	0.13090722638307875	0.18507488909218733	5.182096894581245
A0A0A6YY83_S989___1	cosine	24.0	15.0	12.0	96913.40986087311	6044.094789112517	63.0	12.0	112257.47766	87892.3102118	24365.1674486	1.27721614542	1.11144831185	0.20651023780253988	0.07871439991892487	2.2040031977298966
A0A0B4J1E4_S390___1	cosine	24.0	12.0	3.0	51591.429315360576	5710.872799104294	39.0	24.0	60924.7701423	36678.2376942	24246.532448	1.66106045362	1.18263668181	0.3142978771675294	0.015710968084713377	0.43990710637197455
Q99MR6-3_S67___1	cosine	24.0	6.0	0.0	63026.02179955612	4148.335533905575	60.0	42.0	73242.7525983	54762.4287969	18480.3238014	1.33746355316	1.09930589083	0.23056134809676734	0.057233835382467506	1.6025473907090901
A0A0G2JEP4_S96___1	cosine	24.0	21.0	3.0	196529.0376746341	9605.143606752164	45.0	3.0	216699.166993	177302.083161	39397.0838313	1.22220316383	1.0739787889	0.1550079351331196	0.14430254111594104	4.040471151246349
Q61687_S92___1	cosine	24.0	21.0	0.0	181782.46841481372	11568.347086712782	63.0	27.0	213702.341864	166816.280819	46886.0610457	1.28106405931	1.10203999212	0.1885787263005176	0.09834961988888624	2.7537893568888148
A0A0G2JFJ6_S535___1	cosine	24.0	21.0	3.0	25596.61108980826	2045.1540764776996	69.0	3.0	30845.1402083	21928.4154516	8916.72475671	1.406628777	1.09582201522	0.2878718795329364	0.024374796195956446	0.6824942934867805
Q7TPW1_S495___1	cosine	24.0	21.0	0.0	23005.031236778912	2645.7494232739505	45.0	0.0	27876.8213795	18155.1073307	9721.71404888	1.53548094604	1.18503456736	0.29211214466158614	0.02276070879876716	0.6372998463654805
A0A0N4SVC2_S258___1	cosine	24.0	0.0	9.0	92059.71209217417	8059.719739894247	60.0	3.0	102665.251936	64978.5849519	37686.6669837	1.57998596017	1.13239379542	0.21076445880646086	0.0745247925817003	2.0866941922876086
A0A0N4SW28_S60___1	cosine	24.0	21.0	0.0	30613.824242051178	3697.2888565051003	69.0	9.0	37163.0940774	23405.2954826	13757.7985949	1.58780708858	1.21734559261	0.4252265396972456	0.0018007516288111659	0.05042104560671264
H3BKS8_S121___1	cosine	24.0	0.0	21.0	47959.42494577118	2718.708511771816	66.0	21.0	54926.9718313	43745.0071855	11181.9646459	1.25561693472	1.08770318176	0.21076445880646086	0.0745247925817003	2.0866941922876086
A0A0R4IZZ6_S166___1	cosine	24.0	15.0	12.0	68456.86014880564	9798.543348405921	69.0	36.0	92380.5686299	58398.5734895	33981.9951404	1.58189769218	1.27999464395	0.16145345864562208	0.13451203512311516	3.7663369834472245
A0A0R4IZZ6_S553___1	cosine	24.0	12.0	6.0	78986.26967116422	9146.0922376008	45.0	30.0	97547.7114723	65787.2481374	31760.4633349	1.48277537417	1.16190684324	0.29864054671577644	0.02045220334565448	0.5726616936783254
A0A0R4J008_S394___1	cosine	24.0	21.0	0.0	407511.8358323805	26141.772697846132	12.0	51.0	436215.95139	317194.254733	119021.696657	1.3752328262	1.06827859472	0.39564556302265463	0.003378433371147737	0.09459613439213663
A0A0R4J227_S483___1	cosine	24.0	9.0	21.0	33744.59398882776	1705.3693032259723	57.0	27.0	37003.7868922	30415.8088087	6587.97808348	1.21659716909	1.04951699628	0.39714706960674917	0.0032752197042900965	0.0917061517201227
A0A0R4J0D3_S495___1	cosine	24.0	21.0	18.0	98731.03979207086	7550.4370107613495	60.0	63.0	113877.119198	82362.2847591	31514.8344392	1.38263671936	1.07833070829	0.36115755925730786	0.006708771770159142	0.18784560956445598
A0A0R4J0D3_S496___1	cosine	24.0	18.0	15.0	61961.05151018549	4844.7673352404745	69.0	15.0	71076.334624	52345.4337065	18730.9009175	1.35783256707	1.14148708432	0.13141560587434356	0.18414709071421098	5.156118539997907
A0A0R4J0H8_S208___1	cosine	24.0	0.0	18.0	201190.96064998364	10779.78943119301	24.0	63.0	218256.871877	180431.86031	37825.0115667	1.20963598946	1.08280956467	0.30263454002180495	0.019140153805216078	0.5359243065460502
A0A0R4J0J8_S71___1	cosine	24.0	0.0	3.0	106195.94612519284	7042.225908846542	9.0	54.0	124258.202853	94488.4792816	29769.723571	1.3150619398	1.07672426012	0.2264109462244084	0.060569228522496806	1.6959383986299106
A0A0R4J0P6_S556___1	cosine	24.0	6.0	21.0	35438.73821223113	2483.5983338353863	57.0	9.0	40344.9245571	29511.4794083	10833.4451488	1.36709258112	1.11783954667	0.26352749478578685	0.03560678181850737	0.9969898909182063
A0A0R4J0S1_S368___1	cosine	24.0	21.0	15.0	90271.54901068895	17127.332333473547	54.0	21.0	121403.52569	65678.6425645	55724.8831252	1.84844754626	1.36163816089	0.08602474876602319	0.2779552147225487	7.782746012231364
A0A0R4J0S1_S121___1	cosine	24.0	6.0	3.0	106446.8785484754	12055.734927809484	63.0	0.0	134802.494087	85795.0537046	49007.4403828	1.5712152189	1.17433133112	0.19671770737530567	0.08903321910476264	2.4929301349333537
A0A0R4J0X8_S71___1	cosine	24.0	18.0	15.0	185833.94750473672	9247.65199830315	66.0	15.0	199671.33757	169852.197234	29819.1403357	1.17555934407	1.11507119694	0.31915218569483433	0.014447331991700058	0.4045252957676016
A0A0R4J0X8_S560___1	cosine	24.0	21.0	0.0	51076.62482063218	5530.222625722712	21.0	0.0	63711.8908756	39893.1463544	23818.7445212	1.59706357352	1.12644453392	0.3290883655048249	0.012131343131205926	0.3396776076737659
A0A0R4J0X8_S340___1	cosine	24.0	12.0	6.0	141795.0025020733	26244.30059968695	63.0	0.0	239057.911359	101511.297637	137546.613722	2.35498823209	1.25757236896	0.3583686560589317	0.007075698844899728	0.1981195676571924
A0A0R4J104_S401___1	cosine	24.0	21.0	18.0	51839.63417849833	4497.353921469072	3.0	39.0	62223.6610853	40238.8106758	21984.8504095	1.5463593491	1.10088456103	0.28591640107870203	0.025150935058516143	0.704226181638452
Q9QXS6_S142___1	cosine	24.0	0.0	15.0	22609.63751187587	2616.431525085427	51.0	9.0	29218.6900831	18561.1652343	10657.5248488	1.5741840404	1.14593569153	0.2773216563242906	0.02881195020498228	0.8067346057395038
Q9QXS6_S385___1	cosine	24.0	21.0	3.0	26591.59193428791	2704.270551317341	69.0	6.0	32353.6683377	23028.2155881	9325.45274958	1.40495767959	1.19464824374	0.2509652283107651	0.042888118888463896	1.200867328876989
A0A0R4J1F2_S52___1	cosine	24.0	3.0	0.0	63321.95930215115	8660.835752838264	30.0	15.0	81356.633649	45411.2785387	35945.3551103	1.79155126803	1.18660902794	0.21898763651213274	0.06691183000253088	1.8735312400708648
Q80T06_S133___1	cosine	24.0	3.0	6.0	358723.8048687051	25862.15992880982	0.0	30.0	422481.33942	316042.789593	106438.549827	1.33678524976	1.080163798	0.26352749478578685	0.03560678181850737	0.9969898909182063
Q80T06_S162___1	cosine	24.0	21.0	12.0	1709821.064339732	135884.73991484044	15.0	57.0	1926758.07304	1364871.43392	561886.639118	1.41167733836	1.07679746793	0.2645352517891883	0.03506947273840929	0.9819452366754601
A0A0X1KG62_S608___1	cosine	24.0	3.0	0.0	19084.408106734325	1690.1119490208625	27.0	42.0	22055.256734	16081.3894823	5973.86725162	1.37147705789	1.15642351715	0.16702446852620292	0.12642548136726045	3.5399134782832924
Q8CAF4_S1218___1	cosine	24.0	9.0	18.0	18896.34520259224	2130.2267534025946	45.0	51.0	22896.7714817	15430.6590025	7466.11247913	1.48384923015	1.20469181073	0.10021468111572175	0.2463341008151944	6.897354822825443
A0A140LJ04_S2436___1	cosine	24.0	15.0	18.0	19369.757434623065	1891.0477014366256	63.0	60.0	23761.6440742	15448.4520303	8313.19204383	1.53812459834	1.08863906514	0.29662379611637546	0.021143176383724687	0.5920089387442913
G3UXW9_S509___1	cosine	24.0	0.0	21.0	24157.90582279343	2791.65007511398	48.0	27.0	29378.0664507	18879.6194932	10498.4469575	1.55607301627	1.20752418656	0.12202152878268788	0.2017571781780051	5.649200988984143
E9Q394-2_S1817___1	cosine	24.0	21.0	0.0	31276.16986790128	2497.8879438753743	69.0	6.0	37801.6116278	26988.8875504	10812.7240774	1.40063615283	1.10916689804	0.34387885384212036	0.009281315096840078	0.2598768227115222
E9Q394-2_S1528___1	cosine	24.0	6.0	21.0	39494.381232113665	3322.2585096958646	54.0	0.0	49188.1834963	34988.6834847	14199.5000117	1.40583121734	1.09043814169	0.24868087536123548	0.04433336645633893	1.24133426077749
A0A140T8S5_S108___1	cosine	24.0	21.0	0.0	110012.05569972757	10572.77317939023	39.0	51.0	127658.362674	91017.410451	36640.9522231	1.40257080532	1.15487470431	0.15160250545727888	0.14966458474778954	4.190608372938107
